month,TIME AND SAVINGS DEPOSITS,FOREIGN CURRENCY DEPOSITS,   Domiciliary Accounts,   Federal Government Foreign Currency Deposit,   State Government Foreign Currency Deposit,   Local Government Foreign Currency Deposit,oldm2
,15316311.94,5873263.13,5595014.66,171908.43,106305.64,34.40,6996258.60
,15764295.37,6125833.72,5825387.00,166283.34,134128.92,34.46,7159341.30
,15889663.40,6156171.91,5848726.43,167154.96,140281.49,9.02,7072469.70
,16189266.37,6293731.09,5960018.59,162354.06,171350.28,8.16,7005223.50
,16326296.13,6342505.84,6003015.65,162251.17,176446.44,792.58,7407003.00
,15864219.99,6088260.45,5767625.07,157745.52,162882.24,7.62,7658744.40
,16035783.82,6151318.22,5823390.19,153269.40,174647.74,10.90,7362723.85
,16527338.47,6449207.77,6128910.58,154321.04,165966.45,9.70,7638227.77
,16829797.12,6354175.16,6035902.68,147175.74,171089.64,7.10,8062756.58
,16794147.04,5911672.90,5592986.27,144793.19,173885.74,7.70,5986051.97
